iter	RMSE
0	1.068099397
1	1.051309751
2	1.036088949
3	1.021493087
4	1.005283751
5	0.9906158792
6	0.9769346083
7	0.9639141955
8	0.951018094
9	0.9384179984
10	0.9253345597
11	0.9103170597
12	0.8972607612
13	0.8861894993
14	0.8715380702
15	0.860588275
16	0.848302287
17	0.8377603642
18	0.8268353183
19	0.8172329844
20	0.8034616114
21	0.7948806473
22	0.7857524167
23	0.7751714706
24	0.7663621466
25	0.7551668307
26	0.7443410317
27	0.7345894323
28	0.7257671989
29	0.7158033005
30	0.7050864596
31	0.6930862492
32	0.6853652868
33	0.6763477704
34	0.6699609569
35	0.6616209914
36	0.653256933
37	0.6462198198
38	0.6408371769
39	0.6339634314
40	0.6277608869
41	0.6190750981
42	0.6124359385
43	0.6060514189
44	0.5981411441
45	0.5918438624
46	0.5857445344
47	0.5793453108
48	0.5736064018
49	0.5681985201
50	0.5614402407
51	0.5544787149
52	0.5493354318
53	0.5437492444
54	0.5395725855
55	0.5347434262
56	0.5291593865
57	0.5236902463
58	0.5187151897
59	0.5121966193
60	0.5089100055
61	0.5044595549
62	0.5000672153
63	0.4949991335
64	0.4887376527
65	0.4830285887
66	0.4790153874
67	0.474887173
68	0.4697271544
69	0.4650897903
70	0.4611209171
71	0.4558272599
72	0.4523387911
73	0.4483910644
74	0.4439816973
75	0.4401158721
76	0.4370489312
77	0.4331906812
78	0.4293599269
79	0.4259869494
80	0.4221508066
81	0.4175758248
82	0.4132741077
83	0.409426152
84	0.4064886727
85	0.4030889694
86	0.4001743233
87	0.397532547
88	0.3942608647
89	0.3903476372
90	0.3863887957
91	0.3820912665
92	0.3790677443
93	0.3753095177
94	0.3739925415
95	0.3708597859
96	0.3674382245
97	0.3644904473
98	0.3615101122
99	0.3578709102
100	0.3558937331
101	0.3540114112
102	0.3516199749
103	0.3487490643
104	0.3457198534
105	0.343344064
106	0.340533927
107	0.3386420382
108	0.3363063041
109	0.3331711156
110	0.3305584883
111	0.328544225
112	0.3258302839
113	0.324195532
114	0.3217095668
115	0.3187235845
116	0.3161999573
117	0.3138003174
118	0.3116093391
119	0.3090126452
120	0.3056266847
121	0.3038742142
122	0.3007973464
123	0.2992958616
124	0.2977800243
125	0.2966736082
126	0.2948042806
127	0.2927336647
128	0.2905120339
129	0.2892446499
130	0.2869968288
131	0.284848567
132	0.2826352671
133	0.2816262766
134	0.2796894855
135	0.2778794622
136	0.2761947092
137	0.2741555773
138	0.2728056542
139	0.2708903804
140	0.2685762999
141	0.266965034
142	0.264305384
143	0.2627712683
144	0.2616518874
145	0.2597793705
146	0.2578873177
147	0.2562789023
148	0.2553644597
149	0.2535952781
150	0.2522793396
151	0.2509299078
152	0.2494022128
153	0.2476335358
154	0.2463879662
155	0.2448213201
156	0.2430148095
157	0.2413931895
158	0.2399001052
159	0.23851758
160	0.2369650923
161	0.2352667169
162	0.2339920867
163	0.2319633988
164	0.2297489772
165	0.2278583089
166	0.2270763862
167	0.2261295692
168	0.2242960336
169	0.2227996434
170	0.2212105908
171	0.2200336949
172	0.2185998111
173	0.2172930441
174	0.2157640443
175	0.2144616381
176	0.2131305958
177	0.2121235963
178	0.2107600815
179	0.2095065448
180	0.2081507011
181	0.2070481552
182	0.2057992769
183	0.2045106755
184	0.2035262111
185	0.2022868387
186	0.2011045069
187	0.2000943101
188	0.1990827126
189	0.1980628019
190	0.1969728528
191	0.1958492325
192	0.1948035607
193	0.1940303488
194	0.1929445436
195	0.1921512225
196	0.191099053
197	0.1901460951
198	0.1891935247
199	0.1879819909
200	0.1869868665
201	0.1860118859
202	0.1851136523
203	0.1845476243
204	0.1836743226
205	0.1829472489
206	0.182046422
207	0.1807400689
208	0.1800654674
209	0.179034876
210	0.1782320014
211	0.1774609776
212	0.1766403343
213	0.1758705976
214	0.1751158235
215	0.1746319963
216	0.1738163065
217	0.1727114827
218	0.1720969161
219	0.1716133102
220	0.1702958402
221	0.1692216503
222	0.1684469097
223	0.1679761506
224	0.1674294987
225	0.1668853978
226	0.1664358978
227	0.165354688
228	0.1648025968
229	0.1642296073
230	0.1633496444
231	0.1621310384
232	0.1616234478
233	0.1611746235
234	0.1607592342
235	0.1601164716
236	0.159636017
