iter	Passed	Remaining
0	0	229
1	0	262
2	0	278
3	1	264
4	1	272
5	1	259
6	1	260
7	1	245
8	2	247
9	2	249
10	2	239
11	2	229
12	3	229
13	3	231
14	3	222
15	3	225
16	3	229
17	4	225
18	4	221
19	4	216
20	4	217
21	4	219
22	5	221
23	5	222
24	5	220
25	5	221
26	6	223
27	6	221
28	6	222
29	6	218
30	6	217
31	7	217
32	7	215
33	7	214
34	7	215
35	8	215
36	8	216
37	8	217
38	8	218
39	9	218
40	9	219
41	9	215
42	9	215
43	9	212
44	9	210
45	10	209
46	10	206
47	10	207
48	10	207
49	10	208
50	11	206
51	11	206
52	11	204
53	11	202
54	11	202
55	11	200
56	12	201
57	12	198
58	12	198
59	12	199
60	13	200
61	13	201
62	13	201
63	13	201
64	14	202
65	14	201
66	14	201
67	14	200
68	14	200
69	15	200
70	15	201
71	15	201
72	15	202
73	16	200
74	16	200
75	16	200
76	16	200
77	17	201
78	17	201
79	17	199
80	17	200
81	17	200
82	18	200
83	18	201
84	18	202
85	18	201
86	19	201
87	19	202
88	19	202
89	20	202
90	20	202
91	20	202
92	20	202
93	21	202
94	21	201
95	21	200
96	21	200
97	21	200
98	22	200
99	22	200
100	22	200
101	22	200
102	23	200
103	23	200
104	23	200
105	23	200
106	23	200
107	24	198
108	24	198
109	24	198
110	24	198
111	25	198
112	25	198
113	25	198
114	25	198
115	26	198
116	26	197
117	26	197
118	26	197
119	26	197
120	27	196
121	27	196
122	27	195
123	27	196
124	27	195
125	28	195
126	28	195
127	28	195
128	28	194
129	29	195
130	29	195
131	29	194
132	29	194
133	30	194
134	30	194
135	30	193
136	30	192
137	30	192
138	30	192
139	31	191
140	31	191
141	31	190
142	31	190
143	32	190
144	32	190
145	32	189
146	32	189
147	32	189
148	33	189
149	33	189
150	33	189
151	34	189
152	34	189
153	34	189
154	34	189
155	35	189
156	35	189
157	35	189
158	35	189
159	36	189
160	36	189
161	36	189
162	36	189
163	37	188
164	37	188
165	37	188
166	37	188
167	38	188
168	38	188
169	38	188
170	38	188
171	39	188
172	39	188
173	39	187
174	39	187
175	39	187
176	40	186
177	40	186
178	40	186
179	40	186
180	41	186
181	41	186
182	41	186
183	42	186
184	42	186
185	42	185
186	42	185
187	42	185
188	43	185
189	43	185
190	43	185
191	43	185
192	44	184
193	44	184
194	44	184
195	44	184
196	45	184
197	45	184
198	45	184
199	45	183
200	46	183
201	46	183
202	46	183
203	47	183
204	47	183
205	47	183
206	47	182
207	47	182
208	48	182
209	48	182
210	48	182
211	49	182
212	49	182
213	49	182
214	49	181
215	50	181
216	50	181
217	50	181
218	50	181
219	51	181
220	51	181
221	51	180
222	51	180
223	52	180
224	52	180
225	52	180
226	52	180
227	53	179
228	53	179
229	53	179
230	53	179
231	54	179
232	54	178
233	54	178
234	54	178
235	55	178
236	55	178
237	55	178
238	55	178
239	56	177
240	56	177
241	56	177
242	56	177
243	57	177
244	57	176
245	57	176
246	57	176
247	58	176
248	58	175
249	58	175
250	58	175
251	59	175
252	59	175
253	59	174
254	59	174
255	60	174
256	60	174
257	60	174
258	60	174
259	61	174
260	61	174
261	61	173
262	61	173
263	62	173
264	62	173
265	62	172
266	62	172
267	63	172
268	63	172
269	63	172
270	63	171
271	64	171
272	64	171
273	64	171
274	64	170
275	65	170
276	65	170
277	65	170
278	65	170
279	66	170
280	66	169
281	66	169
282	66	169
283	67	169
284	67	169
285	67	169
286	68	169
287	68	168
288	68	168
289	68	168
290	69	168
291	69	168
292	69	168
293	69	168
294	70	167
295	70	167
296	70	167
297	71	167
298	71	167
299	71	167
300	71	167
301	72	166
302	72	166
303	72	166
304	72	166
305	73	166
306	73	165
307	73	165
308	74	165
309	74	165
310	74	165
311	74	164
312	75	164
313	75	164
314	75	164
315	75	164
316	76	163
317	76	163
318	76	163
319	76	163
320	77	163
321	77	162
322	77	162
323	77	162
324	78	162
325	78	162
326	78	161
327	78	161
328	79	161
329	79	161
330	79	160
331	79	160
332	80	160
333	80	160
334	80	160
335	80	159
336	81	159
337	81	159
338	81	159
339	81	159
340	82	158
341	82	158
342	82	158
343	82	158
344	83	158
345	83	157
346	83	157
347	83	157
348	84	157
349	84	156
350	84	156
351	84	156
352	85	156
353	85	155
354	85	155
355	86	155
356	86	155
357	86	155
358	86	155
359	87	154
360	87	154
361	87	154
362	87	154
363	88	154
364	88	153
365	88	153
366	88	153
367	89	153
368	89	152
369	89	152
370	89	152
371	90	152
372	90	152
373	90	151
374	90	151
375	91	151
376	91	151
377	91	150
378	91	150
379	92	150
380	92	150
381	92	149
382	92	149
383	93	149
384	93	149
385	93	148
386	93	148
387	94	148
388	94	148
389	94	147
390	94	147
