,_BatchID,BatchName,BatchPath,ConfigID,Shift,Cell_Name,TestTypeID,LastInsertedRow,StartTime,Heads,BatteryTypeID,BodyTypeID,DomeTypeID,PCATypeID,PCBTypeID,PlacementContractorID,EmployeID,OpticsTypeID,Versions,LotNumber,SubLot,TestID,Capsule_Number,Initial_Capsule_Id_HEX,Capsule_Id_HEX,Test_Counter,ERROR_Code_Number,Capsule_Id,PASS_FAILED,Start_Time,End_time,Test_Time_min,Date,History,Remark,Blister_Id,Fail_Tray,Fail_capsule_position,ERROR_Code_Description,WTC,CQC_num,Capsule_Counter,TP_Cell_Name,DomeCaseGap,LaserPower,StitchArea,MinStitchWidth,LeakTest,year,quarter,week,month,dayweek,DomeCaseGap_spc_orig,LaserPower_spc_orig,MinStitchWidth_spc_orig,StitchArea_spc_orig,LeakTest_spc_orig,DomeCaseGap_spc,LaserPower_spc,MinStitchWidth_spc,StitchArea_spc,LeakTest_spc,BatchId,DomeCaseGap_limit,LaserPower_limit,MinStitchWidth_limit,StitchArea_limit,LeakTest_limit
0,952414.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_JIG,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_JIG\,917,S1,,1,,2023-06-01 06:13:26.180,1,,,,,,,,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940008.0,,,,277241.0,,,Pass      ,06:09:45 AM,06:13:26 AM,03:40,01/06/2023,,,,,0,,,,,11.0,,,,,,2023,2,22,6,5,,,,,,:,:,:,:,:,952414.0,,,,,
1,952414.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_JIG,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_JIG\,917,S1,,1,,2023-06-01 06:13:26.180,1,,,,,,,,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940009.0,,,,626541.0,,,Pass      ,06:09:51 AM,06:13:38 AM,03:47,01/06/2023,,,,,0,,,,,12.0,,,,,,2023,2,22,6,5,,,,,,:,:,:,:,:,952414.0,,,,,
2,952417.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_\,917,S1,,1,,2023-06-01 06:18:30.817,1,,,,,,,178.0,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940018.0,,,,277242.0,,,Pass      ,06:18:04 AM,06:18:30 AM,00:26,01/06/2023,,,,,0,,,,,11.0,0.129,,98.661,,,2023,2,22,6,5,0.129,,,98.661,,0.1032:0.1548,:,:,78.9288:118.393,:,952417.0,:0.25,,,70:,
3,952417.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_\,917,S1,,1,,2023-06-01 06:18:30.817,1,,,,,,,178.0,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940021.0,,,,277243.0,,,Pass      ,06:18:38 AM,06:18:55 AM,00:17,01/06/2023,,,,,0,,,,,11.0,0.129,,110.682,,,2023,2,22,6,5,0.129,,,110.682,,0.1032:0.1548,:,:,88.5456:132.818,:,952417.0,:0.25,,,70:,
4,952417.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_\,917,S1,,1,,2023-06-01 06:18:30.817,1,,,,,,,178.0,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940024.0,,,,277244.0,,,Pass      ,06:19:02 AM,06:19:20 AM,00:17,01/06/2023,,,,,0,,,,,11.0,0.098,,114.469,,,2023,2,22,6,5,0.098,,,114.469,,0.0784:0.1176,:,:,91.5752:137.363,:,952417.0,:0.25,,,70:,
5,952417.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_\,917,S1,,1,,2023-06-01 06:18:30.817,1,,,,,,,178.0,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940027.0,,,,277245.0,,,Pass      ,06:19:28 AM,06:19:46 AM,00:18,01/06/2023,,,,,0,,,,,11.0,0.196,,111.798,,,2023,2,22,6,5,0.196,,,111.798,,0.1568:0.2352,:,:,89.4384:134.158,:,952417.0,:0.25,,,70:,
6,952417.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_\,917,S1,,1,,2023-06-01 06:18:30.817,1,,,,,,,178.0,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940030.0,,,,277246.0,-185;-181;,,Fail      ,06:19:53 AM,06:20:13 AM,00:19,01/06/2023,,,,,0,BiggestNeighborhoodGroup4 - Biggest Neighborhood of dirts that fit group4;NumOfDotsInGroup4 - number of dirt blobs that fit group4;,,,,11.0,0.133,,96.471,,,2023,2,22,6,5,0.133,,,96.471,,0.1064:0.1596,:,:,77.1768:115.765,:,952417.0,:0.25,,,70:,
7,952417.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_\,917,S1,,1,,2023-06-01 06:18:30.817,1,,,,,,,178.0,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940033.0,,,,277247.0,,,Pass      ,06:20:20 AM,06:20:37 AM,00:17,01/06/2023,,,,,0,,,,,11.0,0.164,,114.481,,,2023,2,22,6,5,0.164,,,114.481,,0.1312:0.1968,:,:,91.5848:137.377,:,952417.0,:0.25,,,70:,
8,952417.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_\,917,S1,,1,,2023-06-01 06:18:30.817,1,,,,,,,178.0,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940036.0,,,,277248.0,-185;-181;,,Fail      ,06:20:44 AM,06:21:04 AM,00:20,01/06/2023,,,,,0,BiggestNeighborhoodGroup4 - Biggest Neighborhood of dirts that fit group4;NumOfDotsInGroup4 - number of dirt blobs that fit group4;,,,,11.0,0.147,,97.624,,,2023,2,22,6,5,0.147,,,97.624,,0.1176:0.1764,:,:,78.0992:117.149,:,952417.0,:0.25,,,70:,
9,952417.0,230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_,\\matrix\cqcbackup2023\SB3_SealingCell\SB3\230531_SB3-AFR-S_SealingCell_TEST_60051S_MX_23_FJ_220525_2330453601B_FJ_210922_\,917,S1,,1,,2023-06-01 06:18:30.817,1,,,,,,,178.0,,"2.6.0.6::1.0.1.2::12/18/2019::11.9999::14.00::0.3,0.2,0.2,0.3,0.2,0.4::2.0.0.6:SP9",60051S,,30940039.0,,,,277249.0,-185;-181;,,Fail      ,06:21:12 AM,06:21:33 AM,00:21,01/06/2023,,,,,0,BiggestNeighborhoodGroup4 - Biggest Neighborhood of dirts that fit group4;NumOfDotsInGroup4 - number of dirt blobs that fit group4;,,,,11.0,0.196,,112.22,,,2023,2,22,6,5,0.196,,,112.22,,0.1568:0.2352,:,:,89.776:134.664,:,952417.0,:0.25,,,70:,
